,Player,Pos,Age,Club,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,MP
15,Eduardo Camavinga,DF,19.0,1.es Real Madrid,2.0,1,140.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.08,0.08,0.0,0.08,Matches,France,
16,Axel Disasi,DF,24.0,1.fr Monaco,3.0,1,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.07,0.0,0.07,0.07,0.07,Matches,France,
17,Steve Mandanda,GK,37.0,1.fr Rennes,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,France,
18,Benjamin Pavard,DF,26.0,1.de Bayern Munich,1.0,1,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,France,
19,Mattéo Guendouzi,"FW,MF",23.0,1.fr Marseille,1.0,1,78.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,France,
20,Jordan Veretout,MF,29.0,1.fr Marseille,1.0,1,62.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,France,
21,Lucas Hernández,DF,26.0,1.de Bayern Munich,1.0,1,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,France,
22,Marcus Thuram,"FW,MF",24.0,1.de M'Gladbach,5.0,0,151.0,1.7,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.19,1.19,0.0,1.19,0.2,0.2,0.3,0.5,0.16,0.19,0.35,0.16,0.35,Matches,France,
23,William Saliba,DF,21.0,1.eng Arsenal,1.0,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches,France,
24,Alphonse Areola,GK,29.0,1.eng West Ham,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,France,
