,Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches,
1,Hakim Ziyech,FW,29.0,7.1,211.0,306.0,69.0,3462.0,987.0,118.0,139.0,84.9,57.0,79.0,72.2,27.0,62.0,43.5,1,0.7,0.5,0.3,7.0,16.0,7.0,0.0,24.0,Matches,Morocco
2,Achraf Hakimi,DF,23.0,7.0,312.0,382.0,81.7,4121.0,1792.0,207.0,232.0,89.2,63.0,80.0,78.8,19.0,32.0,59.4,1,0.5,0.6,0.5,6.0,14.0,6.0,5.0,10.0,Matches,Morocco
3,Youssef En-Nesyri,FW,25.0,6.0,50.0,81.0,61.7,646.0,119.0,26.0,37.0,70.3,14.0,23.0,60.9,3.0,6.0,50.0,0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,Matches,Morocco
4,Sofiane Boufal,FW,28.0,5.3,99.0,133.0,74.4,1645.0,469.0,58.0,71.0,81.7,25.0,36.0,69.4,12.0,17.0,70.6,0,0.3,0.5,-0.3,4.0,10.0,6.0,2.0,14.0,Matches,Morocco
5,Yassine Bounou,GK,31.0,6.3,154.0,209.0,73.7,4346.0,3101.0,29.0,29.0,100.0,82.0,84.0,97.6,43.0,94.0,45.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Morocco
6,Azzedine Ounahi,MF,22.0,6.3,216.0,265.0,81.5,3026.0,786.0,134.0,150.0,89.3,63.0,74.0,85.1,13.0,20.0,65.0,0,0.5,0.4,-0.5,6.0,20.0,6.0,0.0,19.0,Matches,Morocco
7,Romain Saïss,DF,32.0,5.2,159.0,199.0,79.9,3400.0,1479.0,44.0,47.0,93.6,89.0,102.0,87.3,24.0,46.0,52.2,0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,7.0,Matches,Morocco
8,Noussair Mazraoui,DF,24.0,4.1,98.0,121.0,81.0,1540.0,571.0,53.0,57.0,93.0,36.0,43.0,83.7,7.0,16.0,43.8,0,0.0,0.1,0.0,1.0,2.0,1.0,1.0,3.0,Matches,Morocco
9,Selim Amallah,MF,25.0,4.5,65.0,87.0,74.7,840.0,176.0,42.0,48.0,87.5,17.0,23.0,73.9,3.0,9.0,33.3,0,0.1,0.1,-0.1,3.0,4.0,2.0,0.0,4.0,Matches,Morocco
10,Nayef Aguerd,DF,26.0,3.9,137.0,158.0,86.7,2659.0,996.0,53.0,57.0,93.0,64.0,68.0,94.1,20.0,31.0,64.5,0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,Matches,Morocco
11,Jawad El Yamiq,DF,30.0,3.4,146.0,164.0,89.0,2260.0,940.0,79.0,87.0,90.8,61.0,64.0,95.3,6.0,12.0,50.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,Matches,Morocco
12,Yahya Attiat Allah,DF,27.0,3.5,98.0,137.0,71.5,1593.0,728.0,46.0,54.0,85.2,41.0,56.0,73.2,9.0,18.0,50.0,1,1.2,0.3,-0.2,5.0,4.0,4.0,4.0,4.0,Matches,Morocco
13,Achraf Dari,DF,23.0,2.1,99.0,111.0,89.2,1812.0,752.0,37.0,39.0,94.9,55.0,57.0,96.5,7.0,13.0,53.8,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,Matches,Morocco
14,Abdelhamid Sabiri,MF,25.0,2.0,45.0,58.0,77.6,690.0,122.0,30.0,33.0,90.9,7.0,13.0,53.8,7.0,10.0,70.0,1,0.9,0.1,0.1,3.0,3.0,0.0,0.0,0.0,Matches,Morocco
15,Munir,GK,33.0,1.0,19.0,28.0,67.9,597.0,413.0,2.0,2.0,100.0,10.0,10.0,100.0,7.0,16.0,43.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Morocco
16,Bilal El Khannous,MF,18.0,0.6,20.0,24.0,83.3,337.0,67.0,8.0,9.0,88.9,5.0,5.0,100.0,3.0,3.0,100.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,Matches,Morocco
17,Abdessamad Ezzalzouli,"FW,MF",20.0,1.0,10.0,13.0,76.9,118.0,38.0,8.0,9.0,88.9,2.0,2.0,100.0,0.0,2.0,0.0,0,0.3,0.4,-0.3,2.0,0.0,0.0,0.0,2.0,Matches,Morocco
18,Zakaria Aboukhlal,"FW,MF",22.0,0.9,7.0,14.0,50.0,88.0,22.0,5.0,8.0,62.5,1.0,3.0,33.3,1.0,3.0,33.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Morocco
19,Abderrazak Hamdallah,FW,31.0,0.8,8.0,15.0,53.3,64.0,11.0,7.0,9.0,77.8,0.0,4.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,Morocco
20,Walid Cheddira,FW,24.0,0.7,4.0,8.0,50.0,51.0,28.0,4.0,4.0,100.0,0.0,3.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Matches,Morocco
21,Badr Banoun,DF,28.0,0.6,21.0,22.0,95.5,400.0,110.0,7.0,7.0,100.0,11.0,11.0,100.0,3.0,4.0,75.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Matches,Morocco
22,Ilias Chair,MF,24.0,0.5,13.0,15.0,86.7,188.0,54.0,8.0,8.0,100.0,4.0,5.0,80.0,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,Morocco
23,Anass Zaroury,FW,21.0,0.3,8.0,13.0,61.5,92.0,10.0,5.0,5.0,100.0,2.0,3.0,66.7,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,Morocco
24,Yahya Jabrane,MF,30.0,0.2,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Morocco
25,Squad Total,,26.3,7.3,2270.0,2889.0,78.6,38633.0,15136.0,1125.0,1272.0,88.4,833.0,985.0,84.6,239.0,454.0,52.6,4,4.6,3.2,-0.6,41.0,107.0,34.0,12.0,115.0,,Morocco
26,Opponent Total,,27.2,7.3,3978.0,4697.0,84.7,70331.0,21261.0,1735.0,1904.0,91.1,1825.0,2022.0,90.3,346.0,547.0,63.3,2,5.3,5.1,-3.3,54.0,309.0,54.0,13.0,266.0,,Morocco
0,Andries Noppert,GK,28.0,5.3,157.0,192.0,81.8,3993.0,2923.0,29.0,29.0,100.0,81.0,81.0,100.0,47.0,81.0,58.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Netherlands
1,Virgil van Dijk,DF,30.0,5.3,311.0,356.0,87.4,6371.0,2470.0,94.0,102.0,92.2,179.0,194.0,92.3,38.0,57.0,66.7,0,0.1,0.1,-0.1,2.0,7.0,1.0,0.0,15.0,Matches,Netherlands
2,Nathan Aké,DF,27.0,5.3,315.0,349.0,90.3,5204.0,1703.0,154.0,165.0,93.3,138.0,144.0,95.8,20.0,33.0,60.6,0,0.0,0.1,0.0,0.0,29.0,1.0,0.0,19.0,Matches,Netherlands
3,Denzel Dumfries,DF,26.0,5.3,149.0,217.0,68.7,2270.0,742.0,83.0,101.0,82.2,59.0,82.0,72.0,5.0,22.0,22.7,2,0.3,0.4,1.7,2.0,7.0,6.0,0.0,15.0,Matches,Netherlands
4,Frenkie de Jong,MF,25.0,5.3,323.0,364.0,88.7,5030.0,1254.0,178.0,198.0,89.9,121.0,128.0,94.5,19.0,25.0,76.0,1,0.2,0.4,0.8,4.0,23.0,2.0,1.0,17.0,Matches,Netherlands
5,Cody Gakpo,"FW,MF",23.0,5.0,93.0,148.0,62.8,1261.0,499.0,56.0,67.0,83.6,20.0,35.0,57.1,7.0,29.0,24.1,0,0.6,0.7,-0.6,10.0,7.0,4.0,2.0,9.0,Matches,Netherlands
6,Daley Blind,DF,32.0,4.7,252.0,300.0,84.0,4293.0,1503.0,132.0,153.0,86.3,91.0,102.0,89.2,26.0,40.0,65.0,1,0.5,0.4,0.5,2.0,25.0,4.0,2.0,21.0,Matches,Netherlands
7,Jurriën Timber,DF,20.0,4.3,283.0,313.0,90.4,4444.0,1337.0,144.0,151.0,95.4,116.0,126.0,92.1,18.0,29.0,62.1,0,0.0,0.1,0.0,0.0,32.0,0.0,0.0,15.0,Matches,Netherlands
