,Player,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,
5,Cody Gakpo,"FW,MF",23.0,5.0,0,0,0,8,5,3,33,3,2,0.0,0.0,0,19.0,5.0,5.0,50.0,Matches,Netherlands
6,Daley Blind,DF,32.0,4.7,0,0,0,3,1,0,6,5,9,0.0,0.0,0,24.0,5.0,7.0,41.7,Matches,Netherlands
7,Jurriën Timber,DF,20.0,4.3,1,0,0,17,4,0,1,10,6,0.0,0.0,0,30.0,4.0,3.0,57.1,Matches,Netherlands
8,Memphis,FW,28.0,3.3,1,0,0,1,5,1,2,1,1,0.0,0.0,0,10.0,2.0,6.0,25.0,Matches,Netherlands
9,Steven Bergwijn,FW,24.0,2.4,1,0,0,2,4,0,0,0,1,0.0,0.0,0,4.0,0.0,0.0,,Matches,Netherlands
10,Davy Klaassen,"MF,FW",29.0,2.1,0,0,0,1,3,0,2,1,2,0.0,0.0,0,14.0,2.0,2.0,50.0,Matches,Netherlands
11,Marten de Roon,MF,31.0,2.0,0,0,0,3,0,0,0,2,5,0.0,0.0,0,8.0,4.0,3.0,57.1,Matches,Netherlands
12,Teun Koopmeiners,MF,24.0,2.4,1,0,0,6,1,0,2,4,5,0.0,0.0,0,12.0,4.0,3.0,57.1,Matches,Netherlands
13,Steven Berghuis,MF,30.0,2.2,1,0,0,4,0,0,13,0,1,0.0,0.0,0,8.0,1.0,2.0,33.3,Matches,Netherlands
14,Matthijs de Ligt,DF,22.0,1.0,1,0,0,4,1,0,0,0,0,0.0,0.0,0,3.0,5.0,2.0,71.4,Matches,Netherlands
15,Vincent Janssen,FW,27.0,1.0,0,0,0,2,2,0,0,0,0,0.0,0.0,0,2.0,1.0,1.0,50.0,Matches,Netherlands
16,Wout Weghorst,FW,29.0,0.7,1,0,0,5,1,1,0,0,0,0.0,0.0,0,2.0,2.0,2.0,50.0,Matches,Netherlands
17,Luuk de Jong,FW,31.0,0.6,0,0,0,1,1,1,0,0,1,0.0,0.0,0,2.0,3.0,3.0,50.0,Matches,Netherlands
18,Xavi Simons,"FW,MF",19.0,0.1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0,Matches,Netherlands
19,Noa Lang,MF,22.0,0.1,1,0,0,0,0,0,1,1,0,0.0,0.0,0,1.0,0.0,0.0,,Matches,Netherlands
20,Kenneth Taylor,MF,20.0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Matches,Netherlands
21,Squad Total,,26.8,5.3,12,1,1,87,50,8,71,52,47,0.0,1.0,0,241.0,79.0,70.0,53.0,,Netherlands
22,Opponent Total,,26.4,5.3,13,0,0,57,84,11,94,48,49,1.0,0.0,0,261.0,70.0,79.0,47.0,,Netherlands
0,Jordan Pickford,GK,28.0,5.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,4.0,0.0,0.0,,Matches,England
1,John Stones,DF,28.0,4.8,0,0,0,4,3,0,0,1,2,0.0,1.0,0,17.0,6.0,4.0,60.0,Matches,England
2,Harry Maguire,DF,29.0,4.8,1,0,0,6,2,1,1,4,3,0.0,0.0,0,17.0,15.0,5.0,75.0,Matches,England
3,Luke Shaw,DF,26.0,4.7,0,0,0,5,4,0,22,4,1,0.0,0.0,0,21.0,3.0,9.0,25.0,Matches,England
4,Declan Rice,MF,23.0,4.6,0,0,0,3,2,0,4,11,5,0.0,0.0,0,29.0,3.0,3.0,50.0,Matches,England
5,Jude Bellingham,MF,18.0,4.6,0,0,0,5,5,0,4,5,15,0.0,0.0,0,31.0,6.0,9.0,40.0,Matches,England
6,Harry Kane,FW,28.0,4.5,0,0,0,1,9,0,6,0,1,0.0,0.0,0,16.0,9.0,13.0,40.9,Matches,England
7,Bukayo Saka,FW,20.0,3.2,0,0,0,7,6,2,5,2,4,1.0,0.0,0,13.0,1.0,1.0,50.0,Matches,England
8,Jordan Henderson,MF,31.0,3.0,0,0,0,5,4,0,8,1,2,0.0,0.0,0,12.0,2.0,2.0,50.0,Matches,England
9,Phil Foden,"FW,MF",22.0,2.9,0,0,0,2,4,0,14,1,1,0.0,0.0,0,9.0,3.0,5.0,37.5,Matches,England
10,Kyle Walker,DF,32.0,2.6,0,0,0,3,3,0,2,3,1,0.0,0.0,0,10.0,4.0,2.0,66.7,Matches,England
11,Kieran Trippier,DF,31.0,2.3,0,0,0,1,0,0,10,1,4,0.0,0.0,0,11.0,4.0,1.0,80.0,Matches,England
12,Mason Mount,MF,23.0,2.1,0,0,0,7,9,0,3,0,2,1.0,0.0,0,7.0,0.0,3.0,0.0,Matches,England
13,Raheem Sterling,FW,27.0,1.7,0,0,0,0,2,1,2,1,1,0.0,0.0,0,8.0,1.0,1.0,50.0,Matches,England
14,Marcus Rashford,FW,24.0,1.6,0,0,0,1,0,1,1,1,0,0.0,0.0,0,8.0,1.0,3.0,25.0,Matches,England
15,Jack Grealish,FW,26.0,1.0,0,0,0,0,10,0,0,3,1,0.0,0.0,0,6.0,0.0,2.0,0.0,Matches,England
16,Callum Wilson,FW,30.0,0.5,0,0,0,0,2,0,0,0,0,0.0,0.0,0,3.0,1.0,0.0,100.0,Matches,England
17,Kalvin Phillips,MF,26.0,0.5,0,0,0,1,0,0,0,0,0,0.0,0.0,0,1.0,0.0,2.0,0.0,Matches,England
18,Eric Dier,DF,28.0,0.4,0,0,0,1,0,0,0,0,1,0.0,0.0,0,3.0,1.0,1.0,50.0,Matches,England
19,Trent Alexander-Arnold,DF,23.0,0.4,0,0,0,1,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Matches,England
20,Squad Total,,26.1,5.0,1,0,0,53,65,5,82,38,44,2.0,1.0,0,227.0,60.0,66.0,47.6,,England
21,Opponent Total,,26.5,5.0,8,0,0,71,53,5,50,37,37,1.0,2.0,0,217.0,66.0,60.0,52.4,,England
0,Marquinhos,DF,28.0,4.7,1,0,0,1,2,0,1,2,4,0.0,0.0,0,28.0,4.0,4.0,50.0,Matches,Brazil
1,Casemiro,MF,30.0,4.3,1,0,0,7,3,0,2,7,4,0.0,0.0,0,22.0,3.0,3.0,50.0,Matches,Brazil
2,Thiago Silva,DF,37.0,4.3,0,0,0,2,3,0,1,5,1,0.0,0.0,0,17.0,6.0,4.0,60.0,Matches,Brazil
3,Alisson,GK,29.0,4.2,0,0,0,0,1,0,0,0,0,0.0,0.0,0,7.0,1.0,0.0,100.0,Matches,Brazil
4,Éder Militão,DF,24.0,3.9,1,0,0,7,3,0,3,3,6,0.0,0.0,0,29.0,4.0,5.0,44.4,Matches,Brazil
5,Richarlison,FW,25.0,3.6,0,0,0,5,6,1,2,1,2,1.0,0.0,0,13.0,4.0,8.0,33.3,Matches,Brazil
6,Raphinha,FW,25.0,3.5,0,0,0,2,5,0,22,3,6,0.0,0.0,0,11.0,0.0,6.0,0.0,Matches,Brazil
7,Lucas Paquetá,MF,24.0,3.5,0,0,0,4,2,0,4,2,5,0.0,0.0,0,13.0,3.0,2.0,60.0,Matches,Brazil
8,Vinicius Júnior,FW,21.0,3.3,0,0,0,0,7,3,12,0,1,0.0,0.0,0,12.0,0.0,0.0,,Matches,Brazil
9,Danilo,DF,30.0,3.1,1,0,0,3,1,0,8,3,2,0.0,0.0,0,17.0,4.0,1.0,80.0,Matches,Brazil
10,Neymar,MF,30.0,3.1,0,0,0,4,16,2,8,1,0,0.0,0.0,0,11.0,0.0,3.0,0.0,Matches,Brazil
11,Alex Sandro,DF,31.0,2.1,0,0,0,3,2,0,4,3,3,0.0,0.0,0,16.0,3.0,1.0,75.0,Matches,Brazil
12,Fred,MF,29.0,1.6,1,0,0,3,0,0,0,0,3,0.0,0.0,0,7.0,0.0,2.0,0.0,Matches,Brazil
13,Rodrygo,"MF,FW",21.0,2.0,0,0,0,3,6,1,9,2,1,0.0,0.0,0,11.0,0.0,3.0,0.0,Matches,Brazil
14,Antony,FW,22.0,1.9,0,0,0,2,5,0,10,1,0,0.0,0.0,0,12.0,1.0,2.0,33.3,Matches,Brazil
15,Dani Alves,DF,39.0,1.3,0,0,0,5,2,0,6,2,4,0.0,0.0,0,9.0,1.0,1.0,50.0,Matches,Brazil
16,Martinelli,FW,20.0,1.3,0,0,0,2,3,1,5,0,1,0.0,0.0,0,5.0,0.0,2.0,0.0,Matches,Brazil
17,Gleison Bremer,DF,25.0,1.2,0,0,0,2,0,0,0,1,1,0.0,0.0,0,9.0,5.0,0.0,100.0,Matches,Brazil
18,Gabriel Jesus,FW,25.0,1.0,0,0,0,1,4,0,1,2,1,0.0,0.0,0,2.0,1.0,1.0,50.0,Matches,Brazil
19,Ederson,GK,28.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,,Matches,Brazil
20,Fabinho,MF,28.0,1.0,0,0,0,2,0,0,0,1,2,0.0,0.0,0,9.0,1.0,6.0,14.3,Matches,Brazil
21,Alex Telles,DF,29.0,0.7,0,0,0,1,0,0,3,0,2,0.0,0.0,0,1.0,1.0,1.0,50.0,Matches,Brazil
22,Bruno Guimarães,MF,24.0,0.8,1,0,0,2,2,0,3,0,0,0.0,0.0,0,6.0,1.0,0.0,100.0,Matches,Brazil
23,Pedro,FW,24.0,0.7,0,0,0,2,1,0,0,1,2,0.0,0.0,0,2.0,0.0,1.0,0.0,Matches,Brazil
24,Everton Ribeiro,MF,33.0,0.4,0,0,0,0,0,0,2,0,0,0.0,0.0,0,0.0,0.0,0.0,,Matches,Brazil
25,Wéverton,GK,34.0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Matches,Brazil
26,Squad Total,,27.6,5.3,6,0,0,63,74,8,106,40,51,1.0,0.0,0,271.0,43.0,56.0,43.4,,Brazil
27,Opponent Total,,27.5,5.3,12,1,1,78,60,9,71,45,63,0.0,1.0,0,236.0,56.0,43.0,56.6,,Brazil
0,Diogo Costa,GK,22.0,5.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,9.0,0.0,1.0,0.0,Matches,Portugal
1,Rúben Dias,DF,25.0,4.0,1,0,0,4,2,0,0,3,4,0.0,0.0,0,15.0,5.0,3.0,62.5,Matches,Portugal
2,Pepe,DF,39.0,4.0,0,0,0,3,5,1,1,6,0,0.0,0.0,0,28.0,9.0,5.0,64.3,Matches,Portugal
3,Bruno Fernandes,"FW,MF",27.0,4.0,1,0,0,2,8,1,26,2,3,0.0,0.0,0,23.0,2.0,8.0,20.0,Matches,Portugal
4,Bernardo Silva,MF,27.0,4.0,0,0,0,1,2,0,5,2,2,0.0,0.0,0,32.0,1.0,2.0,33.3,Matches,Portugal
5,João Félix,FW,22.0,3.7,1,0,0,8,9,1,4,1,2,0.0,0.0,0,9.0,2.0,1.0,66.7,Matches,Portugal
6,Rúben Neves,MF,25.0,3.0,1,0,0,5,2,0,2,3,1,0.0,0.0,0,12.0,2.0,3.0,40.0,Matches,Portugal
7,João Cancelo,DF,28.0,3.4,0,0,0,2,4,1,15,2,3,0.0,0.0,0,24.0,10.0,1.0,90.9,Matches,Portugal
8,Cristiano Ronaldo,FW,37.0,3.2,0,0,0,2,5,7,2,0,0,1.0,0.0,0,6.0,8.0,4.0,66.7,Matches,Portugal
9,Raphaël Guerreiro,DF,28.0,3.1,0,0,0,2,1,0,13,3,2,0.0,0.0,0,17.0,2.0,1.0,66.7,Matches,Portugal
