,Player,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,
18,Liam Millar,DF,22.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Canada
19,Squad Total,,27.3,3.0,1,34,4,11.8,11.33,1.33,0.03,0.25,17.0,1.0,0,1,4.2,3.6,0.11,-3.2,-2.6,,Canada
20,Opponent Total,,28.1,3.0,7,28,15,53.6,9.33,5.0,0.25,0.47,17.0,1.0,0,0,3.9,3.9,0.14,3.1,3.1,,Canada
0,Akram Afif,FW,25.0,3.0,0,2,0,0.0,0.67,0.0,0.0,,29.8,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Qatar
1,Abdelkarim Hassan,DF,28.0,3.0,0,6,0,0.0,2.0,0.0,0.0,,23.6,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,Qatar
2,Boualem Khoukhi,DF,31.0,3.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Qatar
3,Homam Ahmed,DF,22.0,2.9,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Qatar
4,Ró-Ró,DF,31.0,2.9,0,2,0,0.0,0.69,0.0,0.0,,23.0,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Qatar
5,Almoez Ali,FW,25.0,2.5,0,3,1,33.3,1.21,0.4,0.0,0.0,16.4,0.0,0,0,0.4,0.4,0.12,-0.4,-0.4,Matches,Qatar
6,Hassan Al-Haydos,MF,31.0,2.3,0,1,1,100.0,0.44,0.44,0.0,0.0,29.2,0.0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,Qatar
7,Abdulaziz Hatem,MF,31.0,2.2,0,1,1,100.0,0.46,0.46,0.0,0.0,27.4,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Qatar
8,Karim Boudiaf,MF,31.0,2.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Qatar
9,Meshaal Barsham,GK,24.0,2.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Qatar
10,Ismail Mohamad,FW,32.0,1.9,0,2,2,100.0,1.03,1.03,0.0,0.0,,,0,0,,,,,,Matches,Qatar
